"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Zach Charbonnet","RB","SEA","23","67","54","38","21","24","33","23","20","bye","19","24","29","51","47","14","39","42","568","33.4"
"Gardner Minshew II","QB","LV","60","63","51","59","44","0","65","58","35","bye","65","64","0","0","0","0","0","0","564","56.4"
"Joe Mixon","RB","HOU","57","29","0","0","0","28","42","54","44","52","52","43","47","bye","32","39","27","11","557","39.8"
"Christian Watson","WR","GB","42","41","34","9","0","44","31","52","37","bye","31","47","51","46","50","30","0","10","555","37.0"
"Josh Oliver","TE","MIN","26","29","31","46","45","bye","35","35","41","57","41","0","0","30","36","31","39","30","552","36.8"
"Lil'Jordan Humphrey","WR","DEN","21","47","50","42","40","19","33","44","35","34","27","38","21","bye","21","23","27","24","546","32.1"
"Will Dissly","TE","LAC","25","35","23","20","bye","52","48","45","39","32","38","52","29","24","0","0","35","43","540","36.0"
"Kyle Juszczyk","RB","SF","40","40","44","38","40","42","26","39","bye","25","23","20","21","31","27","22","27","32","537","31.6"
"Trevor Lawrence","QB","JAC","53","60","57","58","58","59","61","57","54","0","0","bye","19","0","0","0","0","0","536","53.6"
"DeAndre Hopkins","WR","Multi","17","29","25","21","0","41","44","23","51","44","26","33","42","38","34","36","29","0","533","33.3"
"J.K. Dobbins","RB","LAC","33","32","30","40","bye","57","45","54","42","39","49","21","0","0","0","0","42","49","533","41.0"
"Ja'Tavion Sanders","TE","CAR","43","24","26","20","45","48","32","22","45","53","bye","12","0","35","27","39","26","34","531","33.2"
"Jerome Ford","RB","CLE","57","32","53","46","36","4","0","0","36","bye","41","20","57","40","36","53","15","0","526","37.6"
"Mike Gesicki","TE","CIN","18","30","31","22","29","19","17","31","27","58","51","bye","27","20","22","19","51","51","523","30.8"
"Tommy Tremble","TE","CAR","0","22","64","61","17","0","0","37","0","0","bye","51","70","46","35","51","25","40","519","43.3"
"Bucky Irving","RB","TB","20","17","18","32","23","49","29","31","19","28","bye","34","43","10","32","41","42","48","516","30.4"
"John Bates","TE","WAS","28","25","33","40","34","21","29","25","32","23","20","29","53","bye","42","24","43","15","516","30.4"
"Julian Hill","TE","MIA","42","28","25","30","40","bye","36","21","0","29","38","31","24","32","27","31","37","43","514","32.1"
"Sterling Shepard","WR","TB","0","0","4","50","36","58","37","45","33","44","bye","35","35","30","36","24","0","42","509","36.4"
"Brian Robinson Jr.","RB","WAS","33","43","45","45","23","0","26","35","0","0","35","12","39","bye","58","43","45","23","505","36.1"
"Jameis Winston","QB","CLE","0","3","2","0","5","1","13","69","79","bye","69","57","86","72","48","0","0","0","504","42.0"
"Nico Collins","WR","HOU","63","52","55","63","9","0","0","0","0","0","30","44","44","bye","41","50","40","11","502","41.8"
