"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Dalton Kincaid","TE","BUF","2","4","5","7","6","7","6","7","10","5","-","bye","-","-","7","7","2","-","75","5.8"
"Kyle Pitts","TE","ATL","3","4","5","3","8","5","9","5","1","6","3","bye","2","6","4","2","5","3","74","4.4"
"Tyler Lockett","WR","SEA","7","2","8","9","6","8","6","3","4","bye","3","3","3","1","1","2","4","4","74","4.4"
"Rashod Bateman","WR","BAL","5","4","4","1","8","4","4","5","4","8","5","3","0","bye","5","3","1","8","72","4.2"
"Romeo Doubs","WR","GB","7","3","2","8","-","4","10","6","5","bye","2","6","-","-","5","3","11","-","72","5.5"
"Bijan Robinson","RB","ATL","5","5","2","4","3","4","5","7","7","4","4","bye","6","2","2","2","5","5","72","4.2"
"Tyler Conklin","TE","NYJ","2","2","6","8","9","3","4","4","2","2","2","bye","5","5","-","7","8","3","72","4.5"
"Michael Wilson","WR","ARI","2","2","9","7","6","4","3","6","1","4","bye","4","7","3","2","5","6","-","71","4.4"
"Darius Slayton","WR","NYG","4","4","2","5","11","11","3","7","3","-","bye","2","6","6","1","2","3","1","71","4.4"
"Tucker Kraft","TE","GB","3","2","3","9","5","4","4","3","6","bye","1","2","7","5","2","4","3","7","70","4.1"
"Chig Okonkwo","TE","TEN","2","3","2","3","bye","3","4","5","4","1","4","1","6","4","10","11","7","0","70","4.1"
"Javonte Williams","RB","DEN","2","5","4","3","6","6","3","5","3","2","5","4","2","bye","3","11","2","4","70","4.1"
"Mark Andrews","TE","BAL","2","5","1","1","5","4","4","5","2","7","3","5","7","bye","2","6","2","8","69","4.1"
"Alec Pierce","WR","IND","3","7","2","2","3","4","5","4","3","7","4","4","6","bye","4","-","9","2","69","4.3"
"Kayshon Boutte","WR","NE","-","-","2","1","2","3","2","6","6","6","6","4","6","bye","5","7","5","7","68","4.5"
"Diontae Johnson","WR","HOU","6","6","14","13","6","10","3","-","-","2","2","1","-","bye","-","-","-","4","67","6.1"
"Juwan Johnson","TE","NO","3","0","0","3","5","3","6","4","2","3","3","bye","7","5","3","2","10","7","66","3.9"
"Chase Brown","RB","CIN","3","0","3","3","3","3","2","4","5","11","7","bye","3","8","3","3","4","-","65","4.1"
"Joshua Palmer","WR","LAC","4","2","-","4","bye","3","5","4","4","2","4","8","1","9","3","6","6","-","65","4.3"
"Stefon Diggs","WR","HOU","6","6","12","9","8","7","7","9","-","-","-","-","-","bye","-","-","-","-","64","8.0"
"Evan Engram","TE","JAC","4","-","-","-","-","10","5","5","10","8","7","bye","9","6","-","-","-","-","64","7.1"
"Will Dissly","TE","LAC","1","3","3","3","bye","5","11","7","3","6","6","4","1","2","-","-","3","6","64","4.3"
"Noah Fant","TE","SEA","4","3","6","2","3","6","4","4","-","bye","-","-","4","4","7","6","5","6","64","4.6"
"Olamide Zaccheaus","WR","WAS","3","3","0","6","3","6","6","0","2","3","2","1","3","bye","4","8","9","5","64","3.8"
"Demarcus Robinson","WR","LAR","7","4","4","3","5","bye","3","3","9","5","4","3","3","1","1","1","2","6","64","3.8"
"Jahmyr Gibbs","RB","DET","6","7","0","0","bye","5","4","1","2","3","1","3","4","6","7","5","4","5","63","3.7"
"Tutu Atwell","WR","LAR","0","4","5","6","10","bye","9","2","3","1","2","3","2","3","2","2","0","8","62","3.6"
"Aaron Jones Sr.","RB","MIN","2","6","6","5","1","bye","3","2","4","3","1","4","4","2","3","5","5","6","62","3.6"
"Adam Thielen","WR","CAR","4","3","5","-","-","-","-","-","-","-","bye","4","10","11","7","6","6","6","62","6.2"
"Chris Godwin","WR","TB","8","8","9","9","6","13","9","-","-","-","bye","-","-","-","-","-","-","-","62","8.9"
"T.J. Hockenson","TE","MIN","-","-","-","-","-","bye","-","-","4","9","3","9","6","5","7","5","6","8","62","6.2"
"Andrei Iosivas","WR","CIN","6","4","7","1","2","3","1","3","4","4","3","bye","4","5","4","3","4","3","61","3.6"
"Nick Westbrook-Ikhine","WR","TEN","0","-","-","-","bye","2","4","4","6","3","6","5","8","2","3","4","6","7","60","4.3"
"Allen Lazard","WR","NYJ","9","4","3","8","9","7","4","-","-","-","-","bye","-","1","4","5","3","3","60","5.0"
"Austin Hooper","TE","NE","4","1","4","2","3","2","5","4","1","4","4","4","4","bye","3","5","3","6","59","3.5"
"Isaiah Likely","TE","BAL","12","3","1","2","3","4","4","4","1","-","5","0","8","bye","2","3","1","5","58","3.6"
"Calvin Austin III","WR","PIT","2","2","5","1","2","5","4","4","bye","6","2","3","2","4","5","5","5","1","58","3.4"
"Jalen McMillan","WR","TB","3","2","1","-","-","1","8","7","-","-","bye","2","3","7","6","7","5","6","58","4.5"
"Jordan Akins","TE","CLE","4","1","7","2","3","-","4","1","4","bye","4","4","1","1","4","2","8","8","58","3.6"
"Keon Coleman","WR","BUF","5","1","1","4","5","4","7","7","2","-","-","bye","-","-","2","2","7","10","57","4.4"
"Tony Pollard","RB","TEN","4","6","4","2","bye","3","6","4","3","4","4","5","6","2","0","4","-","0","57","3.6"
"Tyler Boyd","WR","TEN","5","5","4","2","bye","3","5","6","0","-","3","6","4","4","3","3","4","-","57","3.8"
"David Moore","WR","CAR","3","1","0","0","3","2","0","5","4","4","bye","10","9","5","4","3","1","3","57","3.4"
"Rachaad White","RB","TB","6","1","6","3","3","-","6","6","3","7","bye","1","1","3","2","8","1","0","57","3.6"
"Noah Brown","WR","WAS","-","3","3","4","-","8","1","6","6","7","4","10","4","bye","-","-","-","-","56","5.1"
