"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Quinyon Mitchell","CB","PHI","63","61","56","77","bye","57","49","55","54","52","66","64","70","71","43","68","49","0","955","59.7"
"Isaiah Pola-Mao","S","LV","2","12","27","59","60","67","55","72","74","bye","68","68","71","62","58","67","57","75","954","56.1"
"Terrion Arnold","CB","DET","76","44","53","84","bye","51","60","56","65","68","45","0","64","50","70","63","58","41","948","59.3"
"Jalen Thompson","S","ARI","62","44","68","72","63","73","66","64","68","0","bye","0","52","64","51","68","56","73","944","62.9"
"Quan Martin","S","WAS","59","53","60","57","49","63","29","53","64","77","71","66","49","bye","55","74","64","0","943","58.9"
"Nick Bolton","LB","KC","80","61","48","54","49","bye","59","54","51","54","73","62","65","55","60","57","59","0","941","58.8"
"Zack Baun","LB","PHI","67","60","56","71","bye","57","48","55","53","51","66","53","72","70","43","68","49","0","939","58.7"
"T.J. Watt","LB","PIT","50","55","44","62","70","52","53","69","bye","56","52","55","47","64","53","48","49","59","938","55.2"
"Christian Benford","CB","BUF","61","76","60","56","68","63","70","48","0","59","55","bye","48","77","79","73","40","0","933","62.2"
"Deommodore Lenoir","CB","SF","51","54","57","64","56","75","70","61","bye","61","59","67","0","46","64","67","71","0","923","61.5"
"Andrew Van Ginkel","LB","MIN","41","57","41","63","61","bye","55","72","39","40","53","63","65","56","46","56","58","56","922","54.2"
"Eric Kendricks","LB","DAL","51","56","63","68","58","0","bye","68","57","60","64","63","63","71","55","0","65","58","920","61.3"
"Jonathan Greenard","DE","MIN","52","47","46","61","61","bye","47","65","48","42","48","70","62","60","51","52","53","53","918","54.0"
"Brian Branch","S","DET","78","48","54","0","bye","53","60","59","24","68","45","55","67","45","70","64","63","64","917","57.3"
"Jahlani Tavai","LB","NE","37","69","73","56","66","52","52","49","68","60","42","57","58","bye","55","42","59","20","915","53.8"
"Jarvis Brownlee Jr.","CB","TEN","18","10","31","50","bye","70","55","46","69","58","72","55","83","59","68","56","58","55","913","53.7"
"Travon Walker","DE","JAC","52","55","48","61","52","45","49","54","58","65","57","bye","51","48","44","56","53","63","911","53.6"
"C.J. Gardner-Johnson","S","PHI","66","61","56","72","bye","57","49","55","54","57","66","56","72","60","43","37","47","0","908","56.8"
"Marlon Humphrey","CB","BAL","54","63","77","48","61","57","35","0","38","64","73","65","55","bye","52","56","50","55","903","56.4"
"Blake Cashman","LB","MIN","63","69","54","76","72","bye","0","0","0","35","59","76","82","63","57","64","63","62","895","63.9"
"Riq Woolen","CB","SEA","69","66","54","52","49","0","0","69","77","bye","61","57","68","70","64","54","61","19","890","59.3"
"Ji'Ayir Brown","S","SF","51","54","58","64","56","78","70","62","bye","61","60","72","58","15","60","4","17","46","886","52.1"
"Devin Lloyd","LB","JAC","53","48","42","0","68","66","58","39","61","65","71","bye","45","49","44","60","48","66","883","55.2"
"Sauce Gardner","CB","NYJ","63","66","52","61","59","69","63","66","76","57","69","bye","44","0","84","23","28","0","880","58.7"
"Damar Hamlin","S","BUF","61","70","71","57","68","63","69","51","61","59","55","bye","48","77","0","0","0","64","874","62.4"
"Jourdan Lewis","CB","DAL","68","34","31","51","34","34","bye","65","55","59","0","69","62","71","48","71","62","58","872","54.5"
"Ja'Quan McMillian","CB","DEN","48","37","49","55","52","76","49","48","26","56","53","59","62","bye","58","43","72","27","870","51.2"
